FLOW_START_MILLISECONDS	FLOW_END_MILLISECONDS	IPV4_SRC_ADDR	L4_SRC_PORT	IPV4_DST_ADDR	L4_DST_PORT	PROTOCOL	L7_PROTO	IN_BYTES	IN_PKTS	OUT_BYTES	OUT_PKTS	TCP_FLAGS	CLIENT_TCP_FLAGS	SERVER_TCP_FLAGS	FLOW_DURATION_MILLISECONDS	DURATION_IN	DURATION_OUT	MIN_TTL	MAX_TTL	LONGEST_FLOW_PKT	SHORTEST_FLOW_PKT	MIN_IP_PKT_LEN	MAX_IP_PKT_LEN	SRC_TO_DST_SECOND_BYTES	DST_TO_SRC_SECOND_BYTES	RETRANSMITTED_IN_BYTES	RETRANSMITTED_IN_PKTS	RETRANSMITTED_OUT_BYTES	RETRANSMITTED_OUT_PKTS	SRC_TO_DST_AVG_THROUGHPUT	DST_TO_SRC_AVG_THROUGHPUT	NUM_PKTS_UP_TO_128_BYTES	NUM_PKTS_128_TO_256_BYTES	NUM_PKTS_256_TO_512_BYTES	NUM_PKTS_512_TO_1024_BYTES	NUM_PKTS_1024_TO_1514_BYTES	TCP_WIN_MAX_IN	TCP_WIN_MAX_OUT	ICMP_TYPE	ICMP_IPV4_TYPE	DNS_QUERY_ID	DNS_QUERY_TYPE	DNS_TTL_ANSWER	FTP_COMMAND_RET_CODE	SRC_TO_DST_IAT_MIN	SRC_TO_DST_IAT_MAX	SRC_TO_DST_IAT_AVG	SRC_TO_DST_IAT_STDDEV	DST_TO_SRC_IAT_MIN	DST_TO_SRC_IAT_MAX	DST_TO_SRC_IAT_AVG	DST_TO_SRC_IAT_STDDEV	Label	Attack
1424240000102	1424240002369	10.107.203.13	41011	149.171.126.1	22	6	3	11860	20	4248	24	24	25	27	2267	2226	2258	254	32	780	88	82	691	5231.583590648434	1873.842082046758	212	0	80	1	5231.583590648434	1873.842082046758	2	2	0	1	0	16383	65160	0	0	27173	255	300	230	750	1324	98	209	117	2799	438	275	1	PortScan
1424240001435	1424240008127	10.72.45.39	53889	149.171.126.0	520	17	36	3303	3	6966	6	0	0	0	6692	6658	6628	31	255	147	68	50	1151	493.57441721458457	1040.9444112372983	67	0	138	0	493.57441721458457	1040.9444112372983	4	4	2	0	1	0	16383	0	0	7499	1	0	125	395	984	530	164	309	2462	103	281	0	Benign
1424240002860	1424240006267	10.25.90.15	64803	149.171.126.10	25	6	36	9576	14	14475	15	19	24	16	3407	3397	3400	254	255	353	47	56	548	2810.6838861168185	4248.605811564426	192	0	276	1	2810.6838861168185	4248.605811564426	4	0	1	1	0	0	14480	0	0	27282	28	0	331	237	1318	362	200	411	645	141	40	1	PortScan
1424240003270	1424240003318	175.208.220.223	62054	149.171.126.1	6881	6	0	4522	7	976	4	24	19	16	48	28	0	31	255	259	47	93	1088	94208.33333333333	20333.333333333332	91	0	23	0	94208.33333333333	20333.333333333332	1	1	0	0	0	65160	65160	0	0	13384	0	300	0	507	2205	173	153	344	1121	486	192	0	Benign
1424240004106	1424240010417	10.127.152.194	12455	149.171.126.1	22	17	3	11920	8	1356	6	0	0	0	6311	6296	6233	254	32	67	50	78	447	1888.7656472825227	214.8629377277769	240	0	24	0	1888.7656472825227	214.8629377277769	1	4	1	0	0	65160	7240	0	0	23949	255	300	0	40	2095	221	279	813	2199	388	63	0	Benign
1424240005071	1424240011152	59.54.229.98	56906	149.171.126.11	8088	6	3	9855	9	1400	5	18	24	24	6081	6079	6052	62	255	968	75	98	806	1620.6216082881103	230.22529189278077	203	0	24	0	1620.6216082881103	230.22529189278077	3	2	1	2	0	7240	65160	0	0	8098	1	300	230	311	575	194	94	829	173	379	16	0	Benign
1424240006700	1424240013266	10.154.141.32	1211	149.171.126.11	31992	6	0	7548	6	4310	5	19	25	27	6566	6533	6549	31	63	779	90	94	151	1149.5583307950046	656.4118184587268	169	1	76	0	1149.5583307950046	656.4118184587268	7	3	2	3	2	65160	14480	0	0	29403	1	0	125	863	2884	451	183	52	364	96	198	0	Benign
1424240007020	1424240011127	59.137.180.249	35555	149.171.126.10	143	6	36	24264	72	2892	12	24	18	16	4107	4084	4038	62	255	1266	52	93	1485	5907.962016070124	704.163623082542	453	5	45	1	5907.962016070124	704.163623082542	4	1	2	0	0	0	65160	0	0	11469	255	300	0	323	452	387	50	943	2303	295	43	1	Fuzzers
1424240008614	1424240009524	59.198.218.222	49997	149.171.126.0	111	6	5	4631	11	4290	3	27	19	16	910	895	899	254	32	981	82	60	1136	5089.010989010989	4714.285714285714	76	0	86	0	5089.010989010989	4714.285714285714	6	1	1	1	1	65160	65160	0	0	21731	255	300	331	937	2556	5	273	890	2691	241	153	0	Benign
1424240009121	1424240010597	175.23.137.48	6890	149.171.126.15	8088	6	92	3336	6	5165	5	19	19	16	1476	1440	1411	62	32	287	95	97	678	2260.162601626016	3499.3224932249323	69	0	98	1	2260.162601626016	3499.3224932249323	4	3	1	1	1	65160	7240	0	0	31946	255	0	125	745	591	174	196	73	2030	529	174	0	Benign
